absolute_course_url,subject_name,course_url
https://www.class-central.com/course/python-for-everybody-exploring-information-7363,Programming ,/course/python-for-everybody-exploring-information-7363
https://www.class-central.com/course/coursera-mastering-the-software-engineering-interview-4261,Programming ,/course/coursera-mastering-the-software-engineering-interview-4261
https://www.class-central.com/course/coursera-character-design-for-video-games-4211,Programming ,/course/coursera-character-design-for-video-games-4211
https://www.class-central.com/course/coursera-agile-planning-for-software-products-4235,Programming ,/course/coursera-agile-planning-for-software-products-4235
https://www.class-central.com/course/coursera-como-criar-um-aplicativo-para-iphone-4273,Programming ,/course/coursera-como-criar-um-aplicativo-para-iphone-4273
https://www.class-central.com/course/coursera-games-sensors-and-media-4280,Programming ,/course/coursera-games-sensors-and-media-4280
https://www.class-central.com/course/coursera-desarrollo-de-aplicaciones-web-conceptos-basicos-5598,Programming ,/course/coursera-desarrollo-de-aplicaciones-web-conceptos-basicos-5598
https://www.class-central.com/course/coursera--netweb-5613,Programming ,/course/coursera--netweb-5613
https://www.class-central.com/course/coursera-desarrollo-de-aplicaciones-con-android-5461,Programming ,/course/coursera-desarrollo-de-aplicaciones-con-android-5461
https://www.class-central.com/course/coursera-desarrollo-de-aplicaciones-avanzadas-con-android-5447,Programming ,/course/coursera-desarrollo-de-aplicaciones-avanzadas-con-android-5447
https://www.class-central.com/course/coursera-principios-de-desenvolvimento-agil-de-software-5670,Programming ,/course/coursera-principios-de-desenvolvimento-agil-de-software-5670
https://www.class-central.com/course/coursera-build-your-first-android-app-project-centered-course-5719,Programming ,/course/coursera-build-your-first-android-app-project-centered-course-5719
https://www.class-central.com/course/coursera-how-to-create-a-website-in-a-weekend-project-centered-course-5815,Programming ,/course/coursera-how-to-create-a-website-in-a-weekend-project-centered-course-5815
https://www.class-central.com/course/coursera-concurrent-programming-in-java-8910,Programming ,/course/coursera-concurrent-programming-in-java-8910
https://www.class-central.com/course/coursera-develop-and-deploy-windows-applications-on-google-cloud-platform-9235,Programming ,/course/coursera-develop-and-deploy-windows-applications-on-google-cloud-platform-9235
https://www.class-central.com/course/coursera-python-programming-a-concise-introduction-7087,Programming ,/course/coursera-python-programming-a-concise-introduction-7087
https://www.class-central.com/course/coursera-software-development-processes-and-methodologies-9514,Programming ,/course/coursera-software-development-processes-and-methodologies-9514
https://www.class-central.com/course/coursera-javascript--1----9569,Programming ,/course/coursera-javascript--1----9569
https://www.class-central.com/course/coursera-building-interactive-3d-characters-and-social-vr-9362,Programming ,/course/coursera-building-interactive-3d-characters-and-social-vr-9362
